[2019-10-02 23:52:06] Type: ErrorException; Message: Undefined variable: products; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\views\default\gallery.php; Line: 4;
[2019-10-02 23:52:06] Type: ErrorException; Message: Undefined variable: featured; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\views\default\gallery.php; Line: 42;
[2019-10-02 23:52:06] Type: ErrorException; Message: Undefined variable: products; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\views\default\gallery.php; Line: 75;
[2019-10-02 23:55:09] Type: ErrorException; Message: Undefined index: s; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 97;
[2019-10-02 23:55:09] Type: ErrorException; Message: Undefined index: id; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 102;
[2019-10-02 23:55:10] Type: ErrorException; Message: Undefined index: s; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 97;
[2019-10-02 23:55:10] Type: ErrorException; Message: Undefined index: id; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 102;
[2019-10-02 23:55:10] Type: ErrorException; Message: Undefined variable: slide; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 311;
[2019-10-02 23:55:10] Type: ErrorException; Message: Trying to get property 'title' of non-object; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 311;
[2019-10-02 23:55:10] Type: ErrorException; Message: Undefined variable: slide; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 311;
[2019-10-02 23:55:10] Type: ErrorException; Message: Trying to get property 'title' of non-object; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 311;
[2019-10-02 23:55:10] Type: ErrorException; Message: Undefined variable: slide; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 311;
[2019-10-02 23:55:10] Type: ErrorException; Message: Trying to get property 'title' of non-object; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 311;
[2019-10-02 23:55:13] Type: ErrorException; Message: Undefined index: s; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.gallery-list-table.php; Line: 92;
[2019-10-02 23:55:13] Type: ErrorException; Message: Undefined index: s; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.gallery-list-table.php; Line: 92;
[2019-10-02 23:55:18] Type: ErrorException; Message: Undefined index: id; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\slideshow-gallery.php; Line: 908;
[2019-10-02 23:55:18] Type: ErrorException; Message: Trying to get property 'id' of non-object; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\views\admin\galleries\save.php; Line: 15;
[2019-10-02 23:55:18] Type: ErrorException; Message: Trying to get property 'title' of non-object; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\views\admin\galleries\save.php; Line: 24;
[2019-10-02 23:55:41] Type: ErrorException; Message: Undefined index: s; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.gallery-list-table.php; Line: 92;
[2019-10-02 23:55:41] Type: ErrorException; Message: Undefined index: s; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.gallery-list-table.php; Line: 92;
[2019-10-02 23:55:56] Type: ErrorException; Message: Undefined variable: class; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\slideshow-gallery-plugin.php; Line: 52;
[2019-10-02 23:55:57] Type: ErrorException; Message: Undefined index: Paginate; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\slideshow-gallery.php; Line: 929;
[2019-10-02 23:55:57] Type: ErrorException; Message: Undefined index: s; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 97;
[2019-10-02 23:55:57] Type: ErrorException; Message: Undefined index: s; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 97;
[2019-10-02 23:56:04] Type: ErrorException; Message: Undefined index: s; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 97;
[2019-10-02 23:56:04] Type: ErrorException; Message: Undefined index: id; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 102;
[2019-10-02 23:56:05] Type: ErrorException; Message: Undefined index: s; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 97;
[2019-10-02 23:56:05] Type: ErrorException; Message: Undefined index: id; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 102;
[2019-10-02 23:56:05] Type: ErrorException; Message: Undefined variable: slide; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 311;
[2019-10-02 23:56:05] Type: ErrorException; Message: Trying to get property 'title' of non-object; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 311;
[2019-10-02 23:56:05] Type: ErrorException; Message: Undefined variable: slide; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 311;
[2019-10-02 23:56:05] Type: ErrorException; Message: Trying to get property 'title' of non-object; File: D:\software\dema4\wp-content\plugins\slideshow-gallery\includes\class.slide-list-table.php; Line: 311;
